    um         	nN
-4.966698e-002	-6.703147e+000
-4.926447e-002	-6.704995e+000
-5.032019e-002	-6.738249e+000
-4.917427e-002	-6.724085e+000
-5.020141e-002	-6.756723e+000
-4.888394e-002	-6.738865e+000
-5.031136e-002	-6.780124e+000
-4.970872e-002	-6.777661e+000
-5.019258e-002	-6.798599e+000
-4.896088e-002	-6.782587e+000
-5.010240e-002	-6.817689e+000
-4.924241e-002	-6.809683e+000
-5.055546e-002	-6.848480e+000
-4.972406e-002	-6.841090e+000
-5.029370e-002	-6.863875e+000
-5.006277e-002	-6.869417e+000
-5.083256e-002	-6.896513e+000
-5.008694e-002	-6.890971e+000
-5.005614e-002	-6.900824e+000
-5.033987e-002	-6.917451e+000
-5.148136e-002	-6.952552e+000
-5.096448e-002	-6.951936e+000
-5.113383e-002	-6.966100e+000
-5.038822e-002	-6.960558e+000
-5.078632e-002	-6.979648e+000
-5.112723e-002	-6.997507e+000
-5.052457e-002	-6.995044e+000
-4.992190e-002	-6.992580e+000
-5.043436e-002	-7.014134e+000
-4.991750e-002	-7.013518e+000
-5.011543e-002	-7.028297e+000
-4.934122e-002	-7.022139e+000
-4.982510e-002	-7.043077e+000
-4.936541e-002	-7.043693e+000
-4.964912e-002	-7.060320e+000
-4.904648e-002	-7.057857e+000
-4.933018e-002	-7.074484e+000
-4.844161e-002	-7.065863e+000
-4.995482e-002	-7.108969e+000
-4.783675e-002	-7.073868e+000
-5.020774e-002	-7.135450e+000
-4.683158e-002	-7.073252e+000
-4.794450e-002	-7.107738e+000
-4.502582e-002	-7.055394e+000
-4.210714e-002	-7.003049e+000
-3.241197e-002	-6.804757e+000
-2.992219e-002	-6.761650e+000
-2.651743e-002	-6.698837e+000
-2.628648e-002	-6.704379e+000
-2.242423e-002	-6.631713e+000
-2.119254e-002	-6.615701e+000
-1.835966e-002	-6.565205e+000
-1.764262e-002	-6.560278e+000
-1.741166e-002	-6.565820e+000
-1.597983e-002	-6.545499e+000
-1.703555e-002	-6.578753e+000
-1.551792e-002	-6.556583e+000
-1.634491e-002	-6.584911e+000
-1.539915e-002	-6.575058e+000
-1.659784e-002	-6.611391e+000
-1.525176e-002	-6.592916e+000
-1.564985e-002	-6.612006e+000
-1.619091e-002	-6.634176e+000
-1.607433e-002	-6.642181e+000
-1.509996e-002	-6.631713e+000
-1.575540e-002	-6.656345e+000
-1.503838e-002	-6.651419e+000
-1.552224e-002	-6.672356e+000
-1.552004e-002	-6.682825e+000
-1.577516e-002	-6.698837e+000
-1.528688e-002	-6.698837e+000
-1.531326e-002	-6.709921e+000
-1.573996e-002	-6.729628e+000
-1.528025e-002	-6.730243e+000
-1.602146e-002	-6.756723e+000
-1.556178e-002	-6.757339e+000
-1.518785e-002	-6.759802e+000
-1.547158e-002	-6.776429e+000
-1.541220e-002	-6.785667e+000
-1.503827e-002	-6.788130e+000
-1.563652e-002	-6.811531e+000
-1.503386e-002	-6.809068e+000
-1.580365e-002	-6.836163e+000
-1.514381e-002	-6.832468e+000
-1.542754e-002	-6.849096e+000
-5.046129e-003	-6.636023e+000
6.536159e-003	-6.397087e+000
1.208538e-002	-6.288088e+000
1.560450e-002	-6.222812e+000
1.500626e-002	-6.246212e+000
1.689560e-002	-6.216037e+000
1.766981e-002	-6.209879e+000
1.801512e-002	-6.212959e+000
1.910387e-002	-6.200026e+000
1.930622e-002	-6.206184e+000
2.016621e-002	-6.198179e+000
2.208415e-002	-6.167388e+000
2.297272e-002	-6.158767e+000
2.394708e-002	-6.148298e+000
2.389211e-002	-6.159998e+000
2.406587e-002	-6.166772e+000
2.455415e-002	-6.166772e+000
2.444200e-002	-6.179704e+000
2.447280e-002	-6.189557e+000
2.516122e-002	-6.185247e+000
2.556372e-002	-6.187094e+000
2.559453e-002	-6.196947e+000
2.528222e-002	-6.214190e+000
2.822948e-002	-6.161230e+000
2.683065e-002	-6.201874e+000
2.914887e-002	-6.162462e+000
2.849343e-002	-6.187094e+000
3.064012e-002	-6.151377e+000
2.955578e-002	-6.185247e+000
3.107341e-002	-6.163078e+000
3.116141e-002	-6.171699e+000
3.167827e-002	-6.171083e+000
3.245249e-002	-6.164925e+000
3.113944e-002	-6.203721e+000
3.322890e-002	-6.169236e+000
3.120104e-002	-6.223427e+000
3.403392e-002	-6.172931e+000
3.309258e-002	-6.203721e+000
3.409552e-002	-6.192637e+000
3.243935e-002	-6.238823e+000
3.527225e-002	-6.188326e+000
3.481696e-002	-6.208648e+000
3.716378e-002	-6.168620e+000
3.547903e-002	-6.215422e+000
3.882659e-002	-6.153840e+000
3.636980e-002	-6.217269e+000
3.843071e-002	-6.183399e+000
3.837571e-002	-6.195100e+000
3.874964e-002	-6.197563e+000
3.943806e-002	-6.193253e+000
3.924013e-002	-6.208032e+000
4.098649e-002	-6.180936e+000
4.038825e-002	-6.204337e+000
4.136262e-002	-6.193868e+000
4.096452e-002	-6.212959e+000
4.291105e-002	-6.181552e+000
4.311340e-002	-6.187710e+000
4.331576e-002	-6.193868e+000
4.377544e-002	-6.194484e+000
4.443529e-002	-6.190789e+000
4.475201e-002	-6.194484e+000
4.421096e-002	-6.216653e+000
4.544265e-002	-6.200642e+000
4.481582e-002	-6.224659e+000
4.556144e-002	-6.219117e+000
4.573521e-002	-6.225890e+000
4.656660e-002	-6.218501e+000
4.685474e-002	-6.222812e+000
4.822941e-002	-6.203721e+000
4.723087e-002	-6.235743e+000
4.969204e-002	-6.193253e+000
4.903663e-002	-6.217885e+000
4.986802e-002	-6.210495e+000
5.044208e-002	-6.208648e+000
5.124490e-002	-6.201874e+000
5.181896e-002	-6.200026e+000
5.316504e-002	-6.181552e+000
5.265255e-002	-6.203106e+000
5.236885e-002	-6.219732e+000
5.362912e-002	-6.203106e+000
5.303089e-002	-6.226506e+000
5.403385e-002	-6.215422e+000
5.383590e-002	-6.230201e+000
5.463872e-002	-6.223427e+000
5.481247e-002	-6.230201e+000
5.535794e-002	-6.228970e+000
5.667541e-002	-6.211111e+000
5.667764e-002	-6.221580e+000
5.799511e-002	-6.203721e+000
5.756843e-002	-6.223427e+000
5.877153e-002	-6.208032e+000
5.788736e-002	-6.237591e+000
5.989105e-002	-6.204953e+000
5.986467e-002	-6.216037e+000
6.129653e-002	-6.195715e+000
5.878256e-002	-6.260376e+000
6.135813e-002	-6.215422e+000
6.010224e-002	-6.252987e+000
6.113378e-002	-6.241286e+000
6.202237e-002	-6.232665e+000
6.142414e-002	-6.256065e+000
6.305614e-002	-6.231433e+000
6.205760e-002	-6.263455e+000
6.383256e-002	-6.235743e+000
6.323430e-002	-6.259145e+000
6.392274e-002	-6.254834e+000
6.392494e-002	-6.265303e+000
6.529962e-002	-6.246212e+000
6.481574e-002	-6.267150e+000
6.601886e-002	-6.251755e+000
6.613543e-002	-6.259760e+000
6.547999e-002	-6.284393e+000
6.519627e-002	-6.301020e+000
6.634219e-002	-6.286856e+000
6.654454e-002	-6.293015e+000
6.992071e-002	-6.230817e+000
7.060915e-002	-6.226506e+000
7.235553e-002	-6.199410e+000
7.230053e-002	-6.211111e+000
7.424706e-002	-6.179704e+000
7.207620e-002	-6.236975e+000
7.416569e-002	-6.202490e+000
7.285262e-002	-6.241286e+000
7.548537e-002	-6.195100e+000
7.451543e-002	-6.226506e+000
7.631898e-002	-6.198179e+000
7.626401e-002	-6.209879e+000
7.680947e-002	-6.208648e+000
7.781244e-002	-6.197563e+000
7.718560e-002	-6.221580e+000
7.747374e-002	-6.225890e+000
7.916292e-002	-6.200026e+000
7.873624e-002	-6.219732e+000
8.031104e-002	-6.196331e+000
7.942688e-002	-6.225890e+000
8.308896e-002	-6.157535e+000
8.108966e-002	-6.211111e+000
8.455160e-002	-6.147066e+000
8.332432e-002	-6.184015e+000
8.484195e-002	-6.161846e+000
8.455822e-002	-6.178473e+000
8.418872e-002	-6.196947e+000
8.539184e-002	-6.181552e+000
8.479358e-002	-6.204953e+000
8.688307e-002	-6.170467e+000
8.505534e-002	-6.220348e+000
8.697327e-002	-6.189557e+000
8.560303e-002	-6.229585e+000
8.754954e-002	-6.198179e+000
8.649382e-002	-6.231433e+000
8.718224e-002	-6.227122e+000
8.601214e-002	-6.262840e+000
8.835896e-002	-6.222812e+000
8.730324e-002	-6.256065e+000
8.953568e-002	-6.218501e+000
8.890885e-002	-6.242518e+000
9.277109e-002	-6.169851e+000
9.629021e-002	-6.104575e+000
9.940904e-002	-6.047920e+000
1.015843e-001	-6.011587e+000
1.008717e-001	-6.037451e+000
1.025895e-001	-6.010971e+000
