    um         	pN
3.579679e-002	-8.661139e+001
3.608198e-002	-8.742084e+001
3.573076e-002	-9.076657e+001
3.617843e-002	-9.092847e+001
3.586783e-002	-9.411232e+001
3.612594e-002	-9.502969e+001
3.578826e-002	-9.832146e+001
3.593804e-002	-9.967055e+001
3.588471e-002	-1.018291e+002
3.629176e-002	-1.021529e+002
3.617073e-002	-1.045812e+002
3.625280e-002	-1.062001e+002
3.582035e-002	-1.098696e+002
3.630863e-002	-1.098696e+002
3.579494e-002	-1.138629e+002
3.641863e-002	-1.133233e+002
3.610803e-002	-1.165072e+002
3.631197e-002	-1.176404e+002
3.593368e-002	-1.210941e+002
3.653029e-002	-1.206623e+002
3.616553e-002	-1.240620e+002
3.603096e-002	-1.265444e+002
3.632968e-002	-1.272999e+002
3.623574e-002	-1.296203e+002
3.643968e-002	-1.307535e+002
3.641343e-002	-1.328041e+002
3.640072e-002	-1.348008e+002
3.653696e-002	-1.362038e+002
3.623991e-002	-1.393337e+002
3.644385e-002	-1.404669e+002
3.599785e-002	-1.441904e+002
3.670278e-002	-1.433270e+002
3.583704e-002	-1.487234e+002
3.651488e-002	-1.479679e+002
3.604181e-002	-1.517993e+002
3.628637e-002	-1.527706e+002
3.655801e-002	-1.536340e+002
3.639636e-002	-1.562243e+002
3.653260e-002	-1.576273e+002
3.658759e-002	-1.593542e+002
3.657489e-002	-1.613508e+002
3.698193e-002	-1.616746e+002
3.683382e-002	-1.642109e+002
3.682112e-002	-1.662075e+002
3.697090e-002	-1.675566e+002
3.657906e-002	-1.710642e+002
3.762250e-002	-1.688517e+002
3.682446e-002	-1.739783e+002
3.739398e-002	-1.736545e+002
3.679904e-002	-1.779716e+002
3.753106e-002	-1.770002e+002
3.715276e-002	-1.804539e+002
3.761396e-002	-1.805618e+002
3.684300e-002	-1.855804e+002
3.773750e-002	-1.839615e+002
3.672281e-002	-1.899515e+002
3.749544e-002	-1.888182e+002
3.667032e-002	-1.940527e+002
3.705028e-002	-1.944844e+002
3.684801e-002	-1.972365e+002
3.726859e-002	-1.975063e+002
3.675490e-002	-2.014996e+002
3.718902e-002	-2.017155e+002
3.674302e-002	-2.054390e+002
3.759690e-002	-2.039820e+002
3.675823e-002	-2.092704e+002
3.759856e-002	-2.078673e+002
3.723381e-002	-2.112670e+002
3.766793e-002	-2.114829e+002
3.764169e-002	-2.135335e+002
3.754774e-002	-2.158539e+002
3.765690e-002	-2.173649e+002
3.821289e-002	-2.170951e+002
3.799707e-002	-2.199012e+002
3.813331e-002	-2.213042e+002
3.757900e-002	-2.254594e+002
3.812144e-002	-2.252436e+002
3.785147e-002	-2.282655e+002
3.825851e-002	-2.285893e+002
3.797500e-002	-2.316652e+002
3.771857e-002	-2.346332e+002
3.826101e-002	-2.344174e+002
3.785565e-002	-2.379789e+002
3.843871e-002	-2.376012e+002
3.770837e-002	-2.424579e+002
3.830498e-002	-2.420262e+002
3.789960e-002	-2.455878e+002
3.844205e-002	-2.453719e+002
3.807730e-002	-2.487716e+002
3.829477e-002	-2.498509e+002
3.833623e-002	-2.516317e+002
3.841830e-002	-2.532506e+002
3.844622e-002	-2.550854e+002
3.840643e-002	-2.571900e+002
3.833956e-002	-2.594025e+002
3.865182e-002	-2.601040e+002
3.832769e-002	-2.633418e+002
3.859933e-002	-2.642052e+002
3.830228e-002	-2.673351e+002
3.818126e-002	-2.697634e+002
3.811439e-002	-2.719759e+002
3.845373e-002	-2.725696e+002
3.811605e-002	-2.758613e+002
3.860434e-002	-2.758613e+002
3.841561e-002	-2.785595e+002
3.837582e-002	-2.806641e+002
3.856622e-002	-2.818513e+002
3.843165e-002	-2.843336e+002
3.878454e-002	-2.848732e+002
3.866351e-002	-2.873016e+002
3.885390e-002	-2.884888e+002
3.881412e-002	-2.905934e+002
3.878787e-002	-2.926440e+002
3.914076e-002	-2.931836e+002
3.918221e-002	-2.949644e+002
3.927783e-002	-2.965293e+002
3.906202e-002	-2.993354e+002
3.922534e-002	-3.006305e+002
3.932095e-002	-3.021955e+002
3.970091e-002	-3.026272e+002
3.902473e-002	-3.072681e+002
3.979736e-002	-3.061348e+002
3.874206e-002	-3.122867e+002
3.990736e-002	-3.095885e+002
3.897391e-002	-3.152547e+002
3.970592e-002	-3.142833e+002
3.890787e-002	-3.194099e+002
3.966697e-002	-3.183306e+002
3.930221e-002	-3.217303e+002
3.968218e-002	-3.221620e+002
3.912786e-002	-3.263172e+002
3.988696e-002	-3.252379e+002
3.956282e-002	-3.284757e+002
4.009172e-002	-3.283138e+002
3.976759e-002	-3.315516e+002
3.921327e-002	-3.357068e+002
4.012130e-002	-3.340340e+002
3.948575e-002	-3.385129e+002
4.042086e-002	-3.367321e+002
3.951450e-002	-3.422904e+002
4.042253e-002	-3.406175e+002
3.989529e-002	-3.446648e+002
4.022109e-002	-3.453123e+002
3.963970e-002	-3.495754e+002
4.007383e-002	-3.497913e+002
3.973615e-002	-3.530831e+002
4.052232e-002	-3.518959e+002
3.967012e-002	-3.572382e+002
4.019902e-002	-3.570764e+002
3.988843e-002	-3.602602e+002
4.043088e-002	-3.600444e+002
4.037755e-002	-3.622029e+002
4.013466e-002	-3.651169e+002
4.047400e-002	-3.657105e+002
4.035297e-002	-3.681389e+002
4.078709e-002	-3.683547e+002
4.039526e-002	-3.718623e+002
4.054504e-002	-3.732114e+002
4.043755e-002	-3.755858e+002
4.106124e-002	-3.750462e+002
4.072357e-002	-3.783380e+002
4.098167e-002	-3.792553e+002
4.033257e-002	-3.837883e+002
4.119998e-002	-3.822773e+002
4.097063e-002	-3.851374e+002
4.124227e-002	-3.860008e+002
4.060671e-002	-3.904798e+002
4.132518e-002	-3.895624e+002
4.078440e-002	-3.936636e+002
4.174660e-002	-3.917749e+002
4.052880e-002	-3.985743e+002
4.130144e-002	-3.974411e+002
4.105855e-002	-4.003551e+002
4.165515e-002	-3.999234e+002
4.150705e-002	-4.024596e+002
4.125062e-002	-4.054276e+002
4.210449e-002	-4.039706e+002
4.176682e-002	-4.072624e+002
4.183535e-002	-4.089353e+002
4.171433e-002	-4.113636e+002
4.179639e-002	-4.129825e+002
4.205449e-002	-4.138999e+002
4.244800e-002	-4.142776e+002
4.188014e-002	-4.184868e+002
4.217886e-002	-4.192423e+002
4.178703e-002	-4.227499e+002
4.318251e-002	-4.191344e+002
4.143665e-002	-4.280383e+002
4.308940e-002	-4.233975e+002
4.158726e-002	-4.313301e+002
4.280673e-002	-4.284161e+002
4.232011e-002	-4.323014e+002
4.268653e-002	-4.327871e+002
4.259258e-002	-4.351076e+002
4.214659e-002	-4.388310e+002
4.301400e-002	-4.373201e+002
4.260863e-002	-4.408816e+002
4.270424e-002	-4.424466e+002
4.284048e-002	-4.438497e+002
4.281423e-002	-4.459003e+002
4.319419e-002	-4.463320e+002
4.337106e-002	-4.475731e+002
4.283028e-002	-4.516743e+002
