    um         	pN
1.605484e+000	-4.355393e+002
1.604861e+000	-4.360789e+002
1.604156e+000	-4.369423e+002
1.603532e+000	-4.374819e+002
1.603057e+000	-4.374280e+002
1.602149e+000	-4.391009e+002
1.601309e+000	-4.405039e+002
1.600888e+000	-4.402341e+002
1.600725e+000	-4.389390e+002
1.600440e+000	-4.381295e+002
1.600277e+000	-4.368344e+002
1.599477e+000	-4.380755e+002
1.598379e+000	-4.405039e+002
1.597146e+000	-4.434719e+002
1.596658e+000	-4.434719e+002
1.596427e+000	-4.424466e+002
1.596223e+000	-4.413133e+002
1.595897e+000	-4.406658e+002
1.595273e+000	-4.412054e+002
1.594907e+000	-4.407198e+002
1.594879e+000	-4.388850e+002
1.594635e+000	-4.379136e+002
1.593916e+000	-4.388310e+002
1.593563e+000	-4.382914e+002
1.592709e+000	-4.397484e+002
1.591977e+000	-4.407198e+002
1.591570e+000	-4.403960e+002
1.591380e+000	-4.392088e+002
1.590607e+000	-4.403420e+002
1.589970e+000	-4.409356e+002
1.589780e+000	-4.397484e+002
1.589373e+000	-4.394246e+002
1.589047e+000	-4.387771e+002
1.588802e+000	-4.378057e+002
1.587881e+000	-4.395325e+002
1.587487e+000	-4.391548e+002
1.586931e+000	-4.394246e+002
1.586118e+000	-4.407198e+002
1.585399e+000	-4.416371e+002
1.585168e+000	-4.406118e+002
1.585181e+000	-4.386152e+002
1.584964e+000	-4.375359e+002
1.584814e+000	-4.361868e+002
1.584204e+000	-4.366725e+002
1.583675e+000	-4.368344e+002
1.582672e+000	-4.388850e+002
1.581263e+000	-4.425545e+002
1.580842e+000	-4.422847e+002
1.580828e+000	-4.403960e+002
1.579690e+000	-4.429862e+002
1.579229e+000	-4.428783e+002
1.579038e+000	-4.416911e+002
1.578591e+000	-4.415292e+002
1.578387e+000	-4.403960e+002
1.578196e+000	-4.392088e+002
1.577627e+000	-4.395325e+002
1.577639e+000	-4.375359e+002
1.577693e+000	-4.353774e+002
1.577069e+000	-4.359170e+002
1.576323e+000	-4.369423e+002
1.575510e+000	-4.382374e+002
1.574914e+000	-4.386692e+002
1.574209e+000	-4.395325e+002
1.573923e+000	-4.387231e+002
1.573340e+000	-4.391009e+002
1.572378e+000	-4.409896e+002
1.571118e+000	-4.440655e+002
1.570738e+000	-4.436338e+002
1.570426e+000	-4.429322e+002
1.570100e+000	-4.422847e+002
1.570208e+000	-4.399103e+002
1.570843e+000	-4.354313e+002
1.570450e+000	-4.350536e+002
1.569406e+000	-4.372661e+002
1.567645e+000	-4.423387e+002
1.566696e+000	-4.441734e+002
1.566357e+000	-4.435798e+002
1.566113e+000	-4.426085e+002
1.565692e+000	-4.423387e+002
1.565122e+000	-4.426624e+002
1.565379e+000	-4.396944e+002
1.565161e+000	-4.386152e+002
1.565012e+000	-4.372661e+002
1.564632e+000	-4.368344e+002
1.563656e+000	-4.387771e+002
1.562355e+000	-4.420149e+002
1.561704e+000	-4.426624e+002
1.561460e+000	-4.416911e+002
1.561391e+000	-4.400182e+002
1.560849e+000	-4.402341e+002
1.560225e+000	-4.407737e+002
1.559642e+000	-4.411515e+002
1.558869e+000	-4.422847e+002
1.558354e+000	-4.423926e+002
1.558489e+000	-4.399103e+002
1.558055e+000	-4.396944e+002
1.558081e+000	-4.376438e+002
1.557701e+000	-4.372121e+002
1.556752e+000	-4.390469e+002
1.556183e+000	-4.393707e+002
1.555112e+000	-4.416911e+002
1.554421e+000	-4.425006e+002
1.554163e+000	-4.415832e+002
1.554324e+000	-4.389929e+002
1.554175e+000	-4.376438e+002
1.553578e+000	-4.380755e+002
1.552751e+000	-4.394246e+002
1.552452e+000	-4.386692e+002
1.551842e+000	-4.391548e+002
1.551340e+000	-4.392088e+002
1.550730e+000	-4.396944e+002
1.549944e+000	-4.408816e+002
1.549280e+000	-4.415832e+002
1.548805e+000	-4.415292e+002
1.548601e+000	-4.403960e+002
1.548979e+000	-4.369423e+002
1.548897e+000	-4.353234e+002
1.548111e+000	-4.365106e+002
1.547623e+000	-4.365106e+002
1.547568e+000	-4.347838e+002
1.547364e+000	-4.336505e+002
1.546253e+000	-4.361329e+002
1.545304e+000	-4.379676e+002
1.544870e+000	-4.377518e+002
1.544612e+000	-4.368344e+002
1.543799e+000	-4.381295e+002
1.542931e+000	-4.396405e+002
1.542402e+000	-4.398024e+002
1.542402e+000	-4.378597e+002
1.542076e+000	-4.372121e+002
1.541736e+000	-4.366185e+002
1.541370e+000	-4.361329e+002
1.540787e+000	-4.365106e+002
1.540272e+000	-4.366185e+002
1.539878e+000	-4.362408e+002
1.539173e+000	-4.371042e+002
1.538671e+000	-4.371582e+002
1.538373e+000	-4.364027e+002
1.537559e+000	-4.376978e+002
1.536827e+000	-4.386692e+002
1.536244e+000	-4.390469e+002
1.535878e+000	-4.385612e+002
