    um         	pN
1.629034e+000	-8.007641e+002
1.629642e+000	-7.963931e+002
1.630535e+000	-7.908888e+002
1.630805e+000	-7.878668e+002
1.631264e+000	-7.840894e+002
1.631047e+000	-7.830101e+002
1.630112e+000	-7.847909e+002
1.629502e+000	-7.852766e+002
1.627768e+000	-7.902412e+002
1.625939e+000	-7.955836e+002
1.625153e+000	-7.967708e+002
1.624502e+000	-7.974184e+002
1.624582e+000	-7.951519e+002
1.624067e+000	-7.952599e+002
1.623741e+000	-7.946123e+002
1.623713e+000	-7.927775e+002
1.623740e+000	-7.907269e+002
1.624226e+000	-7.868415e+002
1.623873e+000	-7.863019e+002
1.623832e+000	-7.845211e+002
1.623438e+000	-7.841434e+002
1.622232e+000	-7.870034e+002
1.621054e+000	-7.897555e+002
1.619455e+000	-7.941806e+002
1.618601e+000	-7.956376e+002
1.617585e+000	-7.977422e+002
1.616433e+000	-8.003864e+002
1.616838e+000	-7.968248e+002
1.617447e+000	-7.924537e+002
1.618245e+000	-7.873272e+002
1.618176e+000	-7.856543e+002
1.618460e+000	-7.825784e+002
1.618486e+000	-7.805278e+002
1.617118e+000	-7.840354e+002
1.615885e+000	-7.870034e+002
1.614286e+000	-7.914284e+002
1.612809e+000	-7.953678e+002
1.611644e+000	-7.980659e+002
1.610425e+000	-8.009799e+002
1.609936e+000	-8.009799e+002
1.610260e+000	-7.977422e+002
1.611519e+000	-7.907809e+002
1.612317e+000	-7.856543e+002
1.612248e+000	-7.839815e+002
1.612478e+000	-7.811214e+002
1.611556e+000	-7.828482e+002
1.610215e+000	-7.862480e+002
1.608982e+000	-7.892159e+002
1.607316e+000	-7.939108e+002
1.606259e+000	-7.961772e+002
1.604877e+000	-7.997388e+002
1.604199e+000	-8.004943e+002
1.604035e+000	-7.991992e+002
1.604116e+000	-7.969327e+002
1.604806e+000	-7.922379e+002
1.604696e+000	-7.907269e+002
1.605346e+000	-7.861939e+002
1.605968e+000	-7.817690e+002
1.605073e+000	-7.833879e+002
1.604124e+000	-7.852226e+002
1.602837e+000	-7.884065e+002
1.601875e+000	-7.902952e+002
1.600547e+000	-7.936409e+002
1.598746e+000	-7.988754e+002
1.597364e+000	-8.024370e+002
1.596537e+000	-8.037860e+002
1.597430e+000	-7.982818e+002
1.598417e+000	-7.923998e+002
1.599134e+000	-7.875970e+002
1.599891e+000	-7.826324e+002
1.600094e+000	-7.798802e+002
1.599687e+000	-7.795565e+002
1.598318e+000	-7.830641e+002
1.596720e+000	-7.874891e+002
1.595013e+000	-7.923458e+002
1.593116e+000	-7.979580e+002
1.592086e+000	-8.001165e+002
1.591679e+000	-7.997928e+002
1.592193e+000	-7.957995e+002
1.592450e+000	-7.928315e+002
1.592110e+000	-7.922379e+002
1.593125e+000	-7.862480e+002
1.593368e+000	-7.833339e+002
1.592893e+000	-7.832799e+002
1.592269e+000	-7.838196e+002
1.590752e+000	-7.879208e+002
1.589478e+000	-7.910507e+002
1.587975e+000	-7.950979e+002
1.586890e+000	-7.974723e+002
1.586917e+000	-7.954217e+002
1.586618e+000	-7.946662e+002
1.586211e+000	-7.943425e+002
1.585614e+000	-7.947741e+002
1.585776e+000	-7.921839e+002
1.586019e+000	-7.892699e+002
1.586316e+000	-7.861400e+002
1.586586e+000	-7.831181e+002
1.586016e+000	-7.834418e+002
1.585122e+000	-7.850607e+002
1.583781e+000	-7.884604e+002
1.583062e+000	-7.893778e+002
1.581897e+000	-7.920760e+002
1.580149e+000	-7.970946e+002
1.579553e+000	-7.975263e+002
1.578956e+000	-7.979580e+002
1.578603e+000	-7.974184e+002
1.578833e+000	-7.945583e+002
1.579103e+000	-7.915363e+002
1.580158e+000	-7.853845e+002
1.580428e+000	-7.823626e+002
1.579899e+000	-7.825244e+002
1.578801e+000	-7.849528e+002
1.577541e+000	-7.880288e+002
1.576836e+000	-7.888921e+002
1.574953e+000	-7.944504e+002
1.573328e+000	-7.989833e+002
1.572230e+000	-8.014117e+002
1.571633e+000	-8.018434e+002
1.572296e+000	-7.972565e+002
1.572864e+000	-7.930474e+002
1.573540e+000	-7.884065e+002
1.573824e+000	-7.853306e+002
1.574283e+000	-7.815531e+002
1.574959e+000	-7.769123e+002
1.573957e+000	-7.789628e+002
1.572629e+000	-7.823086e+002
1.570367e+000	-7.893778e+002
1.567929e+000	-7.971486e+002
1.566804e+000	-7.996848e+002
1.565760e+000	-8.018973e+002
1.565584e+000	-8.006562e+002
1.565908e+000	-7.974184e+002
1.567017e+000	-7.910507e+002
1.568289e+000	-7.840354e+002
1.569263e+000	-7.782074e+002
1.569628e+000	-7.748077e+002
1.568517e+000	-7.772900e+002
1.566932e+000	-7.816610e+002
1.564737e+000	-7.884604e+002
1.561934e+000	-7.976882e+002
1.560213e+000	-8.025989e+002
1.558710e+000	-8.066461e+002
1.558614e+000	-8.050812e+002
1.559818e+000	-7.983357e+002
1.561293e+000	-7.905110e+002
1.562484e+000	-7.838196e+002
1.562524e+000	-7.817150e+002
1.562943e+000	-7.780995e+002
1.562698e+000	-7.771281e+002
